"}ElementAttributes_ОПР_БР_СодержКСБ",""
"}ElementAttributes_ОПР_БР_СодержПомещЗУ",""
"}ElementAttributes_ОПР_БР_СодПредставит",""
"}ElementAttributes_ОПР_БР_СтрахВзносФОТСоцХар",""
"}ElementAttributes_ОПР_БР_СтрахВтечПер",""
"}ElementAttributes_ОПР_БР_СтрахДоНачПер",""
"}ElementAttributes_ОПР_БР_СтрахованиеГО",""
"}ElementAttributes_ОПР_БР_СтрахованиеОбщ",""
"}ElementAttributes_ОПР_БР_Таможня",""
"}ElementAttributes_ОПР_БР_ТМЦ",""
"}ElementAttributes_ОПР_БР_УслБанка",""
"}ElementAttributes_ОПР_БР_ФОТ",""
"}ElementAttributes_ОПР_БР_ФОТ_Показатели",""
"}ElementAttributes_ОПР_БР_ФОТЛСКРС",""
"}ElementAttributes_ОПР_БР_ФОТПроверка",""
"}ElementAttributes_ОПР_БЦ_БилетыСторАК",""
"}ElementAttributes_ОПР_БЦ_БортПитОбеспеч",""
"}ElementAttributes_ОПР_БЦ_БортПитПассаж",""
"}ElementAttributes_ОПР_БЦ_БортПитЭкипаж",""
"}ElementAttributes_ОПР_БЦ_ДоставкаЭк",""
"}ElementAttributes_ОПР_БЦ_НорматКомандир",""
"}ElementAttributes_ОПР_БЦ_НорматСуточных",""
"}ElementAttributes_ОПР_БЦ_НОсторОрг",""
"}ElementAttributes_ОПР_БЦ_ОбщекорпРасхЗК",""
"}ElementAttributes_ОПР_БЦ_ОформлПропДоп",""
"}ElementAttributes_ОПР_БЦ_ПерсВизыПасп",""
"}ElementAttributes_ОПР_БЦ_ПерсОбучение",""
"}ElementAttributes_ОПР_БЦ_ПитПрожЭстафет",""
"}ElementAttributes_ОПР_БЦ_СДСГрузПочта",""
"}ElementAttributes_ОПР_БЦ_ТМЦ",""
"}ElementAttributes_ОПР_БЦ_ТОсторОрг",""
"}ElementAttributes_ОПР_БЦ_ЦенаЭпизодРасх",""
"}ElementAttributes_ОПР_ДохГрузПочта",""
"}ElementAttributes_ОПР_НЗ_ГрузПочта",""
"}ElementAttributes_ОПР_НЗ_ДохЧартБлМкомп",""
"}ElementAttributes_ОПР_НЗ_ДрайверПассДох",""
"}ElementAttributes_ОПР_НЗ_КоэффСписТМЦ",""
"}ElementAttributes_ОПР_НЗ_ЛЧ_ЛЦ",""
"}ElementAttributes_ОПР_НЗ_НормыВремНП",""
"}ElementAttributes_ОПР_НЗ_ПикЗагрузНП",""
"}ElementAttributes_ОПР_НЗ_ПрАгВзнАвиаГСМ",""
"}ElementAttributes_ОПР_НЗ_ПроцентБП",""
"}ElementAttributes_ОПР_НЗ_ПроцПотРабВрЛСБП",""
"}ElementAttributes_ОПР_ПассДоходы_БЦ",""
"}ElementAttributes_ОПР_ПЛГ_КоэффБП",""
"}ElementAttributes_ОПР_ПЛГ_КоэффИнд",""
"}ElementAttributes_ОПР_ПЛГ_СтавкаКсЛизинг",""
"}ElementAttributes_ОПР_СМ_БортПитание",""
"}ElementAttributes_ОПР_СМ_ДиРсубсидии",""
"}ElementAttributes_ОПР_СМ_ПрочиеДиР",""
"}ElementAttributes_ОПР_Экипаж_Резерв_НЗ",""
"}ElementAttributes_ОПР_Экипаж_Эстафета_НЗ",""
"}ElementAttributes_Партийный номер",""
"}ElementAttributes_Паспорт проекта",""
"}ElementAttributes_Перечень бюджетов",""
"}ElementAttributes_Питание и проживание",""
"}ElementAttributes_Питание линии",""
"}ElementAttributes_Подразделения",""
"}ElementAttributes_Подразделения_R1090800",""
"}ElementAttributes_Подразделения_ЗВК",""
"}ElementAttributes_Подразделения_ЗВК_Визы",""
"}ElementAttributes_Подразделения_ЗВК_Командировки",""
"}ElementAttributes_Подразделения_ЗВК_Нотариус",""
"}ElementAttributes_Подразделения_ЗВК_Обучение",""
"}ElementAttributes_Подразделения_ЗВК_Перевод",""
"}ElementAttributes_Подразделения_ЗВК_Почта",""
"}ElementAttributes_Подразделения_ЗВК_Пропуска",""
"}ElementAttributes_Подразделения_ЗВК_ТМЦ",""
"}ElementAttributes_Подразделения_ТЕХ",""
"}ElementAttributes_Подразделения Pick List",""
"}ElementAttributes_Показатели_ЗВК_Командировки_Сводный отчет",""
"}ElementAttributes_Показатели анкеты",""
"}ElementAttributes_Показатели инфляции",""
"}ElementAttributes_Показатели ПЛГ",""
"}ElementAttributes_Показатели реализации",""
"}ElementAttributes_Показатели УФОРТ",""
"}ElementAttributes_Показатель_НСИ_РайонКоэф",""
"}ElementAttributes_Показатель_ФОТ",""
"}ElementAttributes_Показатель НСИ_ВО ЛС и БП",""
"}ElementAttributes_Показатель НСИ_ФОТ_Бюджет страх. взн.",""
"}ElementAttributes_Показатель НСИ_ФОТ_Бюджет ФОТ",""
"}ElementAttributes_Показатель НСИ_ФОТ_Индексация",""
"}ElementAttributes_Показатель НСИ_ФОТ_Расчет ФОТ",""
"}ElementAttributes_Пользователь",""
"}ElementAttributes_Пользователь Pick List",""
"}ElementAttributes_Поставщики",""
"}ElementAttributes_Предпосылки",""
"}ElementAttributes_Презентация проектов",""
"}ElementAttributes_Прилет_Вылет",""
"}ElementAttributes_Программы обучения",""
"}ElementAttributes_ПродажаИмущ показатели дох",""
"}ElementAttributes_ПРП_ДАТО",""
"}ElementAttributes_ПРП_ДиспПерр",""
"}ElementAttributes_ПРП_ДиспПеррпик",""
"}ElementAttributes_ПРП_ДиспСОПП",""
"}ElementAttributes_ПРП_ДиспСОППпик",""
"}ElementAttributes_ПРП_ДрайвКоэфф",""
"}ElementAttributes_ПРП_ДУАБиРдок",""
"}ElementAttributes_ПРП_ДУАБиРпсж",""
"}ElementAttributes_ПРП_КоличВСсертиф",""
"}ElementAttributes_ПРП_ЛЧасЦикл",""
"}ElementAttributes_ПРП_НЗ_ВидРаботУслуг",""
"}ElementAttributes_ПРП_НЗ_СтатНеисправн",""
"}ElementAttributes_ПРП_ПрогрМОсобств",""
"}ElementAttributes_ПРП_ПрогрНОсобств",""
"}ElementAttributes_ПРП_ПрогрТОсобств",""
"}ElementAttributes_ПРП_ПрогрТОСС",""
"}ElementAttributes_ПРП_ПрогрТОсторон",""
"}ElementAttributes_ПРП_РасчетЭкипаж",""
"}ElementAttributes_ПРП_СреднЧислПерс",""
"}ElementAttributes_ПРП_УиЭСКиУВСмакс1",""
"}ElementAttributes_ПРП_УиЭСКиУВСмакс2",""
"}ElementAttributes_ПРП_УиЭСКиУВСпик",""
"}ElementAttributes_ПРП_УиЭСКиУВСсргод1",""
"}ElementAttributes_ПРП_УиЭСКиУВСсргод2",""
"}ElementAttributes_ПРП_ЧисленнБП",""
"}ElementAttributes_ПРП_ЧисленнНП",""
"}ElementAttributes_ПРП_ЭкипажРезерв",""
"}ElementAttributes_ПРП_ЭкипажЭстафета",""
"}ElementAttributes_ПРП_Эталон Zero",""
"}ElementAttributes_Раздел описания проекта",""
"}ElementAttributes_РасхЗЧ_КИ_склад",""
"}ElementAttributes_Расх капремонт",""
"}ElementAttributes_Расх лизинг",""
"}ElementAttributes_Расходы",""
"}ElementAttributes_Расх фин деят",""
"}ElementAttributes_Расчет экипажей",""
"}ElementAttributes_Регион взлета",""
"}ElementAttributes_Регион посадки",""
"}ElementAttributes_Регионы",""
"}ElementAttributes_Регламент",""
"}ElementAttributes_Регламент согласования",""
"}ElementAttributes_Реестр корректировок",""
"}ElementAttributes_Реестр номеров",""
"}ElementAttributes_Реестр проектов",""
"}ElementAttributes_РекламаНаВС показатели дох",""
"}ElementAttributes_Сезон IATA",""
"}ElementAttributes_Серийный номер",""
"}ElementAttributes_Серийный номер компоненты",""
"}ElementAttributes_Смета",""
"}ElementAttributes_Собст_Стор_ВС",""
"}ElementAttributes_Собств_сторон",""
"}ElementAttributes_СОГЛ_ОД_РСБ",""
"}ElementAttributes_СодержПомещ ЗемУчас",""
"}ElementAttributes_Список Бюджетов",""
"}ElementAttributes_СписРезервПЛГ ПаркВС",""
"}ElementAttributes_Справочник ролей",""
"}ElementAttributes_Сроки проекта",""
"}ElementAttributes_Стадия",""
"}ElementAttributes_Статус_ПЗ",""
"}ElementAttributes_Статус ПЗ",""
"}ElementAttributes_Статьи_ОПР_ПассДоходы_Конс",""
"}ElementAttributes_Статьи_ОПР_Прямые расходы",""
"}ElementAttributes_Стоимость_сроки",""
"}ElementAttributes_Страны",""
"}ElementAttributes_СубарендаВС показатели дох",""
"}ElementAttributes_Субсидии показатели дох",""
"}ElementAttributes_Сумма",""
"}ElementAttributes_Сценарий",""
"}ElementAttributes_ТехОбслуж показатели дох",""
"}ElementAttributes_Тип данных",""
"}ElementAttributes_Тип компоненты",""
"}ElementAttributes_Тип КС",""
"}ElementAttributes_Тип налета",""
"}ElementAttributes_Типы ВС_нси",""
"}ElementAttributes_Типы ВС_нси_2",""
"}ElementAttributes_ТОиРемонтТС показатели дох",""
"}ElementAttributes_Уровень риска",""
"}ElementAttributes_УслПровайдТО СВАД",""
"}ElementAttributes_Услуги",""
"}ElementAttributes_Услуги АНО",""
"}ElementAttributes_ФИН_ДепозитПортф",""
"}ElementAttributes_ФИН_ДохФинДеят",""
"}ElementAttributes_ФИН_КредитПортф",""
"}ElementAttributes_ФИН_ПоручитЛизинг",""
"}ElementAttributes_ФИН_РасхФинДеят",""
"}ElementAttributes_Цены авиаГСМ",""
"}ElementAttributes_ЦФО",""
"}ElementAttributes_ЦФО_ЗВК",""
"}ElementAttributes_ЦФО_ОД",""
"}ElementAttributes_ЦФО_ТЕХ",""
"}ElementAttributes_ЦФО Pick List",""
"}ElementAttributes_ЦФО ИД",""
"}ElementAttributes_ЦФО ОД",""
"}ElementAttributes_Шапка ПЗ",""
"}ElementAttributes_Штатные единицы",""
"}ElementAttributes_Штатные единицы_ТЕХ",""
"}ElementAttributes_Эталон",""
"}ElementAttributes_Эталон по рейсам",""
"}ElementAttributes_Эффективность проекта",""
"}ElementAttributes_Язык",""
"}ElementProperties",""
"}Features",""
"}Groups","Роли (группы) в Cognos"
"}Hierarchies",""
"}HierarchyProperties",""
"}Hold",""
"}LineNumber",""
"}Modeling",""
"}ModelProperties",""
"}PerfClients",""
"}PerfCubes",""
"}Permissions",""
"}PickList",""
"}Processes",""
"}ProgressTimings",""
"}RuleStats",""
"}SecurityOverlay",""
"}StatsByProcess",""
"}StatsStatsByClient",""
"}StatsStatsByCube",""
"}StatsStatsByCubeByClient",""
"}StatsStatsForServer",""
"}TimeIntervals",""
"}tp_app_user_preference",""
"}tp_applications",""
"}tp_config",""
"}tp_intermediate_security_applications",""
"}tp_intermediate_security_measures",""
"}tp_job_info",""
"}tp_jobs",""
"}tp_node_info",""
"}tp_permissions",""
"}tp_process_error_measures",""
"}tp_process_errors_localization",""
"}tp_process_guids",""
"}tp_root_permissions",""
"}tp_system_config",""
"}tp_task_navigations",""
"}tp_workflow_action_TI_measures",""
"}tp_workflow_actions",""
"АвДопУслБезАг - показатели дох",""
"АвДопУслБезАг - показатели расчета",""
"Авиакомпания",""
"АвПчтГрузБезАг показатели дох",""
"АвЧартБлокМест показатели дох",""
"Анкета проекта",""
"АрендаПомещ показатели дох",""
"АрендаРемСпецАвто",""
"АэропДеят",""
"АэропортДеят показатели дох",""
"Аэропорты",""
"Аэропорты_посадки",""
"Аэропорты_применен",""
"Базирование",""
"Блоктайм",""
"Борт",""
"Борт_ТЕХ",""
"Борт ВС",""
"Бортовое питание",""
"БортПитание",""
"Бюджетная номенклатура",""
"Бюджетная номенклатура_ТЕХ",""
"Бюджетная форма",""
"Бюджеты","Бюджеты"
"Валюта","Валюта"
"Версия","Версия"
"Вес",""
"Вид взносов ФОТ",""
"Вид вложений",""
"Вид вложения",""
"Вид заявки",""
"Вид ЗС",""
"Вид корректировки",""
"Вид НСИ","Вид НСИ"
"Вид оплаты",""
"Вид работ","Вид работ"
"Вид стоимости",""
"Вид услуг",""
"Вид ФВ",""
"Виды амортизации","Виды амортизации"
"Виды командировок","Виды командировок"
"Виды обучения",""
"Виды работ_услуг",""
"Виды страхования",""
"Владение объектом",""
"ВозмАкцизАвГСМ показатели дох",""
"ВозмАкцизГСМ расчет",""
"ВозмАкциз Ставка",""
"ВозмСтоимРем показатели дох",""
"Время отправления UTC",""
"Время отправления МСК",""
"Время прибытия UTC",""
"Время прибытия МСК",""
"Вход_ЛЭКЭ1",""
"Вход_ЛЭКЭ2",""
"Вход_НП1",""
"Вылет_прилет",""
"Выплаты_ФОТ",""
"Гаражный номер",""
"Год","Год"
"Год Pick List",""
"Год планирования",""
"Город","Город"
"Город командировки",""
"Груз_Почта",""
"Группа иерархий",""
"Группа ОС_РБП",""
"Группа ТМЦ",""
"Дата","Дата"
"Дата 2000",""
"Дата бюджета",""
"Дата рейса UTC",""
"Дата рейса МСК",""
"День","День"
"День_Ночь",""
"День недели",""
"Депозитный портфель",""
"ДиР",""
"Диспетчеры",""
"для аэропорта",""
"Для вида работ",""
"Для норм работ",""
"Дни ремонта",""
"Доля грузовых доходов",""
"Дох. ставки по перевоз. пасс.",""
"Доход_расход проекта",""
"Доходы",""
"Дох фин деят",""
